datetime,home_team,away_team,home_goal,away_goal,season,round,saldo_casa,saldo_casa_contra,saldo_visitante,saldo_visitante_contra,result
2012-08-04T18:30:00Z,Atletico-GO,Botafogo-RJ,1,2,2012,14,13,27,24,18,0
2012-08-04T21:00:00Z,Portuguesa-SP,Figueirense-SC,2,0,2012,14,12,16,13,23,3
2012-08-05T16:00:00Z,Vasco da Gama-RJ,Corinthians-SP,0,0,2012,14,20,11,13,13,1
2012-08-05T16:00:00Z,Gremio-RS,Bahia-BA,3,1,2012,14,21,13,12,21,3
2012-08-05T16:00:00Z,Coritiba-PR,Fluminense-RJ,0,2,2012,14,23,29,24,8,0
2012-08-05T16:00:00Z,Sao Paulo-SP,Sport-PE,1,0,2012,14,22,16,13,20,3
2012-08-05T18:30:00Z,Cruzeiro-MG,Ponte Preta-SP,1,2,2012,14,18,16,18,18,0
2012-08-05T18:30:00Z,Nautico-PE,Santos-SP,3,0,2012,14,20,27,9,15,3
2012-09-26T22:00:00Z,Flamengo-RJ,Atletico-MG,2,1,2012,14,18,22,26,10,3
2012-08-08T19:30:00Z,Sport-PE,Vasco da Gama-RJ,0,2,2012,15,13,22,22,11,0
2012-08-08T19:30:00Z,Internacional-RS,Nautico-PE,0,0,2012,15,19,11,20,27,1
2012-08-08T20:30:00Z,Bahia-BA,Portuguesa-SP,0,0,2012,15,12,21,12,16,1
2012-08-08T20:30:00Z,Corinthians-SP,Atletico-GO,1,1,2012,15,14,14,14,28,1
2012-08-08T21:50:00Z,Santos-SP,Cruzeiro-MG,4,2,2012,15,13,17,20,20,3
2012-08-08T21:50:00Z,Figueirense-SC,Flamengo-RJ,0,2,2012,15,13,25,20,22,0
2012-08-08T21:50:00Z,Botafogo-RJ,Palmeiras-SP,1,2,2012,15,25,20,15,18,0
2012-08-09T21:00:00Z,Fluminense-RJ,Sao Paulo-SP,2,1,2012,15,26,9,23,18,3
2012-08-09T21:00:00Z,Atletico-MG,Coritiba-PR,1,0,2012,15,27,10,23,30,3
2012-08-09T21:00:00Z,Ponte Preta-SP,Gremio-RS,0,0,2012,15,18,18,21,13,1
2012-08-11T18:30:00Z,Sport-PE,Figueirense-SC,0,1,2012,16,13,23,14,25,0
2012-08-11T18:30:00Z,Bahia-BA,Cruzeiro-MG,0,1,2012,16,12,22,21,20,0
2012-08-11T18:30:00Z,Santos-SP,Atletico-GO,2,2,2012,16,15,19,16,30,1
2012-08-11T21:00:00Z,Flamengo-RJ,Nautico-PE,2,0,2012,16,22,22,20,29,3
2012-08-12T16:00:00Z,Internacional-RS,Ponte Preta-SP,2,1,2012,16,21,12,19,20,3
2012-08-12T16:00:00Z,Sao Paulo-SP,Gremio-RS,1,2,2012,16,24,20,23,14,0
2012-08-12T16:00:00Z,Atletico-MG,Vasco da Gama-RJ,1,0,2012,16,28,10,22,12,3
2012-08-12T16:00:00Z,Coritiba-PR,Corinthians-SP,1,2,2012,16,24,32,16,15,0
2012-08-12T18:30:00Z,Fluminense-RJ,Palmeiras-SP,1,0,2012,16,27,9,15,19,3
2012-08-12T18:30:00Z,Portuguesa-SP,Botafogo-RJ,1,1,2012,16,13,17,26,21,1
2012-08-15T19:30:00Z,Gremio-RS,Portuguesa-SP,1,2,2012,17,24,16,15,18,0
2012-08-15T19:30:00Z,Cruzeiro-MG,Fluminense-RJ,1,1,2012,17,22,21,28,10,1
2012-08-15T20:30:00Z,Atletico-GO,Atletico-MG,1,1,2012,17,17,31,29,11,1
2012-08-15T20:30:00Z,Ponte Preta-SP,Bahia-BA,0,2,2012,17,19,22,14,22,0
2012-08-15T21:50:00Z,Nautico-PE,Sao Paulo-SP,3,0,2012,17,23,29,24,23,3
2012-08-15T21:50:00Z,Botafogo-RJ,Sport-PE,2,0,2012,17,28,21,13,25,3
2012-08-15T21:50:00Z,Palmeiras-SP,Flamengo-RJ,1,0,2012,17,16,19,22,23,3
2012-08-16T21:00:00Z,Vasco da Gama-RJ,Coritiba-PR,2,2,2012,17,24,14,26,34,1
2012-08-16T21:00:00Z,Corinthians-SP,Internacional-RS,1,0,2012,17,17,15,21,13,3
2012-08-16T21:00:00Z,Figueirense-SC,Santos-SP,1,3,2012,17,15,28,18,20,0
2012-08-18T18:30:00Z,Nautico-PE,Bahia-BA,1,0,2012,18,24,29,14,23,3
2012-08-18T18:30:00Z,Fluminense-RJ,Sport-PE,1,0,2012,18,29,10,13,26,3
