home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round,result
Fluminense-RJ,RJ,Coritiba-PR,PR,2,1,2012,33,3
Santos-SP,SP,Nautico-PE,PE,0,0,2012,33,1
Ponte Preta-SP,SP,Cruzeiro-MG,MG,1,0,2012,33,3
Corinthians-SP,SP,Vasco da Gama-RJ,RJ,1,0,2012,33,3
Internacional-RS,RS,Palmeiras-SP,SP,2,1,2012,33,3
Botafogo-RJ,RJ,Atletico-GO,GO,4,0,2012,33,3
Figueirense-SC,SC,Portuguesa-SP,SP,0,0,2012,33,1
Sport-PE,PE,Sao Paulo-SP,SP,2,4,2012,33,0
Bahia-BA,BA,Gremio-RS,RS,1,1,2012,33,1
Atletico-MG,MG,Flamengo-RJ,RJ,1,1,2012,33,1
Gremio-RS,RS,Ponte Preta-SP,SP,1,0,2012,34,3
Cruzeiro-MG,MG,Santos-SP,SP,0,4,2012,34,0
Flamengo-RJ,RJ,Figueirense-SC,SC,1,0,2012,34,3
Atletico-GO,GO,Corinthians-SP,SP,0,2,2012,34,0
Vasco da Gama-RJ,RJ,Sport-PE,PE,0,3,2012,34,0
Sao Paulo-SP,SP,Fluminense-RJ,RJ,1,1,2012,34,1
Palmeiras-SP,SP,Botafogo-RJ,RJ,2,2,2012,34,1
Portuguesa-SP,SP,Bahia-BA,BA,0,1,2012,34,0
Coritiba-PR,PR,Atletico-MG,MG,1,0,2012,34,3
Nautico-PE,PE,Internacional-RS,RS,3,0,2012,34,3
Botafogo-RJ,RJ,Portuguesa-SP,SP,3,0,2012,35,3
Atletico-GO,GO,Santos-SP,SP,2,1,2012,35,3
Corinthians-SP,SP,Coritiba-PR,PR,5,1,2012,35,3
Vasco da Gama-RJ,RJ,Atletico-MG,MG,1,1,2012,35,1
Palmeiras-SP,SP,Fluminense-RJ,RJ,2,3,2012,35,0
Gremio-RS,RS,Sao Paulo-SP,SP,2,1,2012,35,3
Nautico-PE,PE,Flamengo-RJ,RJ,0,1,2012,35,0
Ponte Preta-SP,SP,Internacional-RS,RS,1,0,2012,35,3
Figueirense-SC,SC,Sport-PE,PE,1,1,2012,35,1
Cruzeiro-MG,MG,Bahia-BA,BA,3,1,2012,35,3
Santos-SP,SP,Figueirense-SC,SC,2,0,2012,36,3
Coritiba-PR,PR,Vasco da Gama-RJ,RJ,1,2,2012,36,0
Flamengo-RJ,RJ,Palmeiras-SP,SP,1,1,2012,36,1
Fluminense-RJ,RJ,Cruzeiro-MG,MG,0,2,2012,36,0
Sao Paulo-SP,SP,Nautico-PE,PE,2,1,2012,36,3
Atletico-MG,MG,Atletico-GO,GO,2,2,2012,36,1
Bahia-BA,BA,Ponte Preta-SP,SP,1,0,2012,36,3
Sport-PE,PE,Botafogo-RJ,RJ,2,0,2012,36,3
Internacional-RS,RS,Corinthians-SP,SP,0,2,2012,36,0
Portuguesa-SP,SP,Gremio-RS,RS,2,2,2012,36,1
Corinthians-SP,SP,Santos-SP,SP,1,1,2012,37,1
Vasco da Gama-RJ,RJ,Flamengo-RJ,RJ,1,1,2012,37,1
Ponte Preta-SP,SP,Sao Paulo-SP,SP,0,0,2012,37,1
Sport-PE,PE,Fluminense-RJ,RJ,1,1,2012,37,1
Figueirense-SC,SC,Gremio-RS,RS,2,4,2012,37,0
Bahia-BA,BA,Nautico-PE,PE,1,1,2012,37,1
Cruzeiro-MG,MG,Coritiba-PR,PR,2,1,2012,37,3
Internacional-RS,RS,Portuguesa-SP,SP,0,2,2012,37,0
Palmeiras-SP,SP,Atletico-GO,GO,1,2,2012,37,0
Botafogo-RJ,RJ,Atletico-MG,MG,2,3,2012,37,0
Flamengo-RJ,RJ,Botafogo-RJ,RJ,2,2,2012,38,1
Santos-SP,SP,Palmeiras-SP,SP,3,1,2012,38,3
Fluminense-RJ,RJ,Vasco da Gama-RJ,RJ,1,2,2012,38,0
Sao Paulo-SP,SP,Corinthians-SP,SP,3,1,2012,38,3
Gremio-RS,RS,Internacional-RS,RS,0,0,2012,38,1
Atletico-MG,MG,Cruzeiro-MG,MG,3,2,2012,38,3
Portuguesa-SP,SP,Ponte Preta-SP,SP,0,0,2012,38,1
Coritiba-PR,PR,Figueirense-SC,SC,3,0,2012,38,3
Nautico-PE,PE,Sport-PE,PE,1,0,2012,38,3
Atletico-GO,GO,Bahia-BA,BA,0,1,2012,38,0
Vasco da Gama-RJ,RJ,Portuguesa-SP,SP,1,0,2013,1,3
Vitoria-BA,BA,Internacional-RS,RS,2,2,2013,1,1
Corinthians-SP,SP,Botafogo-RJ,RJ,1,1,2013,1,1
Gremio-RS,RS,Nautico-PE,PE,2,0,2013,1,3
